x,y,z,Mx,My,Mz
118.0,141.0,0.0,-25861.666896254654,-56356.80143619507,-10578.874804101335
118.0,146.0,-30.0,-25557.1318702275,-57598.22060537968,6663.242989287525
118.0,146.0,-25.0,-29416.47431672314,-63490.86138748821,8295.391818357539
118.0,146.0,-20.0,-33013.50284287564,-68220.349698247,5060.3595594569615
118.0,146.0,-15.0,-35628.054609142324,-70069.0930179002,-9.098936029579164e-11
118.0,146.0,-10.0,-33013.50284287462,-68220.34969824633,-5060.35955945632
118.0,146.0,-5.0,-29416.47431672331,-63490.8613874871,-8295.391818356919
118.0,146.0,0.0,-25557.131870227226,-57598.22060537915,-6663.242989286682
118.0,151.0,-30.0,-25633.760994961216,-60856.1217357781,4283.50617886749
118.0,151.0,-25.0,-28259.23438062852,-62095.71313895445,4265.806899960375
118.0,151.0,-20.0,-32752.07045139788,-64091.24131280917,2622.441013369941
118.0,151.0,-15.0,-34558.79136816887,-64777.01422273199,5.004614266861034e-10
118.0,151.0,-10.0,-32752.070451396365,-64091.241312808146,-2622.4410133691063
118.0,151.0,-5.0,-28259.234380628113,-62095.71313895375,-4265.806899960077
118.0,151.0,0.0,-25633.760994961027,-60856.12173577743,-4283.506178866742
118.0,156.0,-30.0,-26179.641487098004,-61107.470112939125,3215.3839819019995
118.0,156.0,-25.0,-28837.328282516122,-62356.11247811017,3747.5953235889037
118.0,156.0,-20.0,-31720.545719979287,-62293.796409529474,1956.2964729228538
118.0,156.0,-15.0,-33851.87035855258,-62478.81700140595,8.267426509471414e-11
118.0,156.0,-10.0,-31720.54571997967,-62293.79640952869,-1956.2964729236592
118.0,156.0,-5.0,-28837.328282515336,-62356.11247810986,-3747.5953235887764
118.0,156.0,0.0,-26179.64148709773,-61107.470112937015,-3215.3839819019768
118.0,161.0,-30.0,-25800.795760341865,-60839.999990203214,3525.087705098941
118.0,161.0,-25.0,-27767.169758371234,-60656.51084223342,3219.9099575266864
118.0,161.0,-20.0,-31577.26255937311,-61287.61275763457,2025.931883625991
118.0,161.0,-15.0,-32935.44672327254,-61270.65137574604,-7.696828281934773e-10
118.0,161.0,-10.0,-31577.262559373252,-61287.6127576343,-2025.9318836272403
118.0,161.0,-5.0,-27767.169758371827,-60656.510842232776,-3219.909957527549
